VISA,URL,SECTION,DESCRIPTION
Beschleunigtes Fachkräfteverfahren,https://www.berlin.de/einwanderung/dienstleistungen/service.871055.php/dienstleistung/329325/,VORAUSSETZUNGEN,"Ausländische Fachkraft mit qualifizierter Berufsausbildung oder mit Hochschulabschluss                                


Besitz einer inländischen qualifizierten Berufsausbildung oder einer ausländischen  Berufsqualifikation, die einer inländischen qualifizierten Berufsausbildung gleichwertig ist,oder
Besitz eines deutschen oder (eventuell bereits anerkannten) ausländischen Hochschulabschlusses, oder eines ausländischen Hochschulabschlusses, der einem deutschen Hochschulabschluss vergleichbar ist 



                                Arbeitsvertrag oder konkretes Arbeitsplatzangebot                                


                                    Es sollte bereits ein Arbeitsvertrag vorliegen, mindestens aber ein Entwurf.                                



                                Betriebsstätte in Berlin                                


                                    Der Business Immigration Service (BIS) ist nur zuständig, wenn die Fachkraft in einer Berliner Betriebsstätte eingesetzt werden soll.
Betriebsstätte ist nach § 12 Abgabenordnung jede feste Geschäftseinrichtung oder Anlage, die der Tätigkeit eines Unternehmens dient (siehe Abschnitt ""Weiterführende Informationen"").
Bei einem beschleunigten Fachkräfteverfahren ist es für die Zuständigkeit des BIS deshalb egal, ob die ausländische Fachkraft ihren Wohnsitz in Berlin oder einem anderen Bundesland nehmen wird.                                



                                Kein Visum-Antrag im Herkunftsland                                


Die jeweilige Fachkraft befindet sich noch in ihrem Herkunftsland oder in einem Drittstaat und hat noch kein Visum in einer deutschen Auslandsvertretung beantragt.Dies gilt auch für Ehegatten und Kinder, die zusammen mit der Fachkraft oder maximal 6 Monate später im Rahmen des Familiennachzugs nach Deutschland umsiedeln möchten. 



                                Sprachkenntnisse                                 


Die Fachkraft muss über ausreichende Sprachkenntnisse für die beabsichtigte Beschäftigung verfügen.Bei Familiennachzug des Ehegatten: Der Ehegatte muss einfache Deutschkenntnisse auf dem Niveau A 1 des GER verfügen (siehe Abschnitt „Weiterführende Informationen“). Diese Voraussetzung entfällt, wenn die Fachkraft Anspruch auf Ausstellung des Aufenthaltstitels Blaue Karte EU hat. 



                                Gültiger Pass                                 


                                    Für die ausländische Fachkraft wie auch für deren Familienangehörige müssen gültige Pässe vorliegen.                                



                                Krankenversicherung                                


                                    Gesetzlich Krankenversicherte sind ausreichend versichert. Privat Krankenversicherte müssen auf Art und Umfang ihrer Krankenversicherung achten. Für mehr Informationen dazu bitte das Merkblatt lesen.                                



                                Bevollmächtigungen                                


Die Fachkraft muss ihrem zukünftigen Arbeitgeber für die Durchführung des Verfahrens eine Vollmacht ausstellen. Sofern auch Familienangehörige der Fachkraft das Verfahren nutzen wollen, müssen diese dem Arbeitgeber ebenfalls eine Vollmacht ausstellen.Der Arbeitgeber kann mittels Untervollmachten grundsätzlich auch Dienstleister wie Relocation-Services oder Anwaltskanzleien mit der Durchführung des Verfahrens beauftragen. Auch hierzu müssen die Fachkraft und deren Familienangehörige den Arbeitgeber bevollmächtigen. 



                                Registrierung im Business Immigration Service (BIS)                                


                                    Der Arbeitgeber oder der von ihm beauftragte Dienstleister muss im BIS des Landesamtes für Einwanderung als Kunde registriert sein (siehe dazu Abschnitt „Weiterführende Informationen“).                                



                                Persönliches Erscheinen des Arbeitgebers im BIS                                


                                    Der Arbeitgeber kann hierfür eigene, dafür bevollmächtigte Beschäftigte oder mittels Untervollmacht dazu befugte, externe Dienstleister beauftragen.                                



                                Schriftliche Vereinbarung mit dem BIS                                


                                    Vor Einleitung des Verfahrens wird zwischen dem Arbeitgeber und dem BIS eine schriftliche Vereinbarung getroffen. Diese Vereinbarung umfasst insbesondere die Beschreibung der Abläufe und Fristen des Verfahrens, die einzureichenden Nachweise und die erteilten Bevollmächtigungen."
Beschleunigtes Fachkräfteverfahren,https://www.berlin.de/einwanderung/dienstleistungen/service.871055.php/dienstleistung/329325/,ERFORDERLICHE UNTERLAGEN,"Farb-Kopie vom Pass                                 

                                    Kopien nur vom Datenblatt des Passes (nicht den gesamten Pass)
Bei Familiennachzug zur Fachkraft: auch Farb-Kopien von den Pässen der nachziehenden Familienangehörigen                                



                                Wenn sich die Fachkraft in einem anderen EU-Mitgliedsstaat aufhält: Kopie vom Aufenthaltstitel des anderen EU-Mitgliedsstaats                                 

                                    Bei Familiennachzug zur Fachkraft: auch Kopien von den Aufenthaltstiteln der nachziehenden Familienangehörigen, wenn diese sich ebenfalls in einem anderen EU-Mitgliedsstaat aufhalten                                



                                Ausbildungs-Nachweise                                 

Bei einer Fachkraft mit qualifizierter Berufsausbildung: Ausbildungszeugnis / AusbildungszertifikatBei einer Fachkraft mit akademischer Ausbildung: Hochschulabschluss(Jeweils in Originalsprache als amtlich beglaubigte Kopie und in deutscher Übersetzung als einfache Kopie)                                



                                Tabellarischer Lebenslauf (in Deutsch)                                

                                    Ab Beginn der maßgeblichen Ausbildung:
Vollständige Aufstellung der absolvierten Ausbildungs- und Weiterbildungsgänge sowie aller ausgeübten Erwerbstätigkeiten                                



                                Nur bei reglementierten Berufen: Nachweis über rechtmäßige Ausübung des Berufs im Herkunftsland                                

                                    Wenn die Fachkraft im Herkunftsland bereits in einem reglementierten Beruf (insbesondere im Gesundheitswesen) gearbeitet hat, sind entsprechende Nachweise vorzulegen (zum Beispiel Berufsausübungserlaubnis)                                



                                Nachweise über einschlägige Berufserfahrung                                

                                    Zum Beispiel: Arbeitszeugnisse, Arbeitsbücher, Referenzschreiben
(Jeweils in Originalsprache als amtlich beglaubigte Kopie und in deutscher Übersetzung als einfache Kopie)                                



                                Soweit vorhanden: sonstige Befähigungsnachweise                                 

                                    Zum Beispiel: Zeugnisse und Zertifikate über Weiterbildungen, Lehrgänge, Kurse, Sprachniveau
(Jeweils in Originalsprache als amtlich beglaubigte Kopie und in deutscher Übersetzung als einfache Kopie)                                



                                Soweit vorhanden: Vorherige Bescheide zur Anerkennung der beruflichen Ausbildung                                



                                Erklärung zu einer noch nicht festgestellten Gleichwertigkeit der ausländischen Ausbildung                                

                                    Nur wenn der Berufs- oder Studienabschluss nicht bereits in Deutschland anerkannt wurde: Eine von der Fachkraft unterzeichnete Erklärung in deutscher Sprache, dass bisher in der Bundesrepublik Deutschland noch kein Antrag auf Feststellung der Gleichwertigkeit des ausländischen Ausbildungsabschlusses mit einem vergleichbaren deutschen Abschluss gestellt wurde.                                



                                Nach positivem Abschluss des Verfahrens über die Feststellung der Gleichwertigkeit der im Ausland erworbenen Qualifikation: Formular für die Beteiligung der Bundesagentur für Arbeit                                

                                    Vollständig ausgefülltes und vom Arbeitgeber unterzeichnetes Formular „Erklärung zum Beschäftigungsverhältnis (Stellenbeschreibung)“                                



                                Bei Nachzug des Ehegatten: Heiratsurkunde                                

Beglaubigte Kopie der internationalen Heiratsurkunde oderBeglaubigte Kopie der nationalen Heiratsurkunde mit Apostille(In beiden Fällen zusammen mit beglaubigter Übersetzung in die deutsche Sprache)                                



                                Bei Nachzug des Ehegatten: Zertifikat über deutsche Sprachkenntnisse auf dem Niveau A 1                                

                                    Entfällt, wenn die Fachkraft einen Anspruch auf den Aufenthaltstitel Blaue Karte EU hat.                                



                                Bei Nachzug von Kindern: Geburtsurkunden der Kinder                                

Beglaubigte Kopie der internationalen Geburtsurkundenoder
Beglaubigte Kopie der nationalen Geburtsurkunden mit Apostille(In beiden Fällen zusammen mit beglaubigter Übersetzung in die deutsche Sprache)                                



                                Auf den Arbeitgeber ausgestellte Vollmacht der Fachkraft                                  

Sofern der Arbeitgeber für das Verfahren externe Dienstleister beauftragen möchte, muss die Fachkraft dazu eine Untervollmacht erteilt haben.Bei Familiennachzug zur Fachkraft: auch Vollmachten der nachziehenden Familienangehörigen 



                                Untervollmacht                                

                                    Bevollmächtigung einer Mitarbeiterin oder eines Mitarbeiters des Arbeitgebers oder Untervollmacht für einen beauftragten externen Dienstleister"
Beschleunigtes Fachkräfteverfahren,https://www.berlin.de/einwanderung/dienstleistungen/service.871055.php/dienstleistung/329325/,FORMULARE,Erklärung zum Beschäftigungsverhältnis (Stellenbeschreibung)
Beschleunigtes Fachkräfteverfahren,https://www.berlin.de/einwanderung/dienstleistungen/service.871055.php/dienstleistung/329325/,GEBÜHREN,"Für jede Person, deren Visum-Verfahren über dieses Verfahren vorbereitet wird: 411,00 EuroDie Gebühr ist bereits bei Abschluss der Vereinbarung über die Durchführung eines beschleunigten Fachkräfteverfahrens zu entrichten.Die Kosten für die Beglaubigung und Übersetzung von Unterlagen sowie für die Anerkennung von Berufsausbildungen und Studienabschlüssen sind durch die Fachkraft oder den Arbeitgeber zu tragen."
Beschleunigtes Fachkräfteverfahren,https://www.berlin.de/einwanderung/dienstleistungen/service.871055.php/dienstleistung/329325/,RECHTSGRUNDLAGEN,Aufenthaltsgesetz (AufenthG) § 81a
Beschleunigtes Fachkräfteverfahren,https://www.berlin.de/einwanderung/dienstleistungen/service.871055.php/dienstleistung/329325/,DURCHSCHNITTLICHE BEARBEITUNGSZEIT,"Zwischen Einleitung des Verfahrens und Erteilung des Einreise-Visums durch die zuständige deutsche Auslandsvertretung liegen mindestens 15 Wochen:
Für die notwendigen Prüfungen zur Anerkennung der Qualifikation durch die zuständigen Stellen sind rund 8 Wochen vorgesehen (§14a BQFG). Die Einhaltung dieser Frist setzt allerdings voraus, dass alle notwendigen Unterlagen für die Anerkennung vollständig zu Beginn des Verfahrens vorliegen. Die Anerkennungsstellen können diese Frist einmalig mit Begründung um einen angemessenen Zeitraum verlängern.Die (im Anschluss) durchzuführende Beteiligung der Bundesagentur für Arbeit für die Beschäftigungserlaubnis soll binnen einer Woche abgeschlossen sein.Die Vergabe des Termins bei der deutschen Auslandsvertretung und die Erteilung des Visums sollen binnen 6 Wochen erfolgen."
Beschleunigtes Fachkräfteverfahren,https://www.berlin.de/einwanderung/dienstleistungen/service.871055.php/dienstleistung/329325/,WEITERFÜHRENDE INFORMATIONEN,"Informationen des Business Immigration Service des LEA Berlin und Online-Formulare zur Registrierung und Antragstellung im BIS 





                                    Anerkennung in Deutschland (Informationen der Bundesregierung zum Anerkennungsgesetz)





                                    Datenbank „anabin“ über ausländische Hochschul-Abschlüsse 





                                    Zeugnisbewertung für ausländische Hochschulqualifikationen





                                    Zum Sprachnachweis - Gemeinsamer Europäischer Referenzrahmen (GER)





                                    Merkblatt zum erforderlichen Krankenversicherungsschutz





                                    Zum Begriff der Betriebsstätte: § 12 Abgabenordnung (AO)"
Beschleunigtes Fachkräfteverfahren,https://www.berlin.de/einwanderung/dienstleistungen/service.871055.php/dienstleistung/329325/,ZUSTÄNDIGE BEHÖRDEN,"Diese Dienstleistung kann nur beim Landesamtes für Einwanderung (LEA), an den Standorten
Business Immigration Service (für akademische Fachkräfte) undLise-Meitner-Straße (für Fachkräfte mit Berufsausbildung)in Anspruch genommen werden.                
                






Landesamt für Einwanderung (LEA)




LEA, Keplerstr.




LEA, Zum Business Immigration Service (BIS)


Weitere zuständige Behörden für diese Dienstleistung im zentralen Service-Portal anzeigen."
Schengen – Visum – Verlängerung,https://www.berlin.de/einwanderung/dienstleistungen/service.871055.php/dienstleistung/324785/,VORAUSSETZUNGEN,"Ausnahmegründe: Höhere Gewalt, humanitäre oder schwerwiegende persönliche Gründe                                


                                    Eine Visumsverlängerung kommt nur in Betracht, wenn humanitäre bzw. schwerwiegende persönliche Gründe vorliegen oder bei höherer Gewalt.
Beispiel für höhere Gewalt:Kein Flugverkehr wegen Wetterverhältnissen oder Streik
Beispiele für humanitäre Gründe:eilbedürftige ärztliche Behandlung oder Reiseunfähigkeit des Antragstellers, plötzliche Erkrankung oder ein Besorgnis erregendes Ereignis von nahen Familienangehörigen
Beispiele für schwerwiegende persönliche Gründe:dringende geschäftliche oder berufliche Gründe, die vor der Einreise nicht abschätzbar waren                                



                                Verspätete Einreise                                


                                    Ein Visum kann auch dann verlängert werden, wenn ein Visum nicht voll ausgeschöpft wurde, weil die Einreise in die Bundesrepublik Deutschland oder in einen anderen Schengen-Staat verspätet erfolgte.                                



                                Gesicherter Lebensunterhalt                                


                                    Der Lebensunterhalt muss für die Dauer der Visumsverlängerung gesichert sein.                                



                                Vorsprache nur mit Termin"
Schengen – Visum – Verlängerung,https://www.berlin.de/einwanderung/dienstleistungen/service.871055.php/dienstleistung/324785/,ERFORDERLICHE UNTERLAGEN,"Pass mit dem gültigen Visum                                



                                Vollmacht mit Pass oder Personalausweis                                 

                                    Falls eine persönliche Vorsprache nicht möglich ist                                



                                Ausgefüllter ""Antrag auf Verlängerung eines Schengen-Visums""                                

                                    (siehe im Abschnitt Formulare)                                



                                Nachweise zum gesicherten Lebensunterhalt                                

Verpflichtungserklärung und Nachweis über ausreichende finanzielle Mittel der einladenden Person (Bankauszug / die drei letzten Gehaltsnachweise / bei Selbständigen die Einkommensbescheinigung des Steuerberaters) oderNachweis eigener ausreichender Mittel oderggf. Referenzschreiben der zuständigen Botschaft mit Übernahme der Lebenshaltungskosten 



                                Krankenversicherung                                

Reise-Krankenversicherung für die Dauer des zu verlängernden Aufenthalts oderReferenzschreiben der zuständigen Botschaft mit Übernahme der Reisekrankenversicherung.Unfälle und akute Erkrankungen müssen durch die Versicherung in beiden Fällen abgedeckt sein.                                



                                Sonstige Nachweise                                

                                    Bei einem Visum zu einem geschäftlichen oder beruflichen Aufenthalt sind Nachweise vorzulegen, die auch ein öffentliches Interesse an der Verlängerung begründen."
